Year,burgalry,homocide,larceny,motor vehicle theft,robery,Voilent crimes
1999,1648728,13494,5659782,954844,332354,373.7
2000,1631172,13592,5723693,979518,335646,506.5
2001,1693103,14321,5857072,1035846,347168,523
2002,1697793,14534,5752240,1034827,322314,504.5
2003,1713904,14789,5777434,1085274,313444,494.4
2004,1726568,14536,5796079,1053406,309894,475.8
2005,1745489,15233,5631221,1050293,321162,463.2
2006,1777785,15271,5496745,1020032,350977,469
2007,1776389,15125,5468976,935747,349872,479.3
2008,1825440,14461,5503192,810153,345836,471.8
2009,1813130,13893,5327324,674019,318784,458.6
2010,1792657,13294,5265561,624184,288561,431.9
2011,1814764,12960,5249254,604630,277624,404.5
2012,1763409,13118,5283858,624213,280253,387.1
2013,1630103,12495,5234447,629136,284759,394.9
2014,1461440,12394,5086541,605533,273625,387.8
2015,1326287,13998,4971081,636712,277453,369.1
2016,1274698,15508,4963681,688259,282941,361.6
2017,1165377,15385,4779558,684591,266365,397.5
2018,1017347,14678,4501788,662170,235823,383.4
2019,904679,14185,4329584,623563,221980,379.4
